year_film,year_ceremony,ceremony,canon_category,name,film,winner
2015,2016,88,ACTOR IN A LEADING ROLE,Matt Damon,The Martian,False
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,Spotlight,False
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Rylance,Bridge of Spies,True
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Sylvester Stallone,Creed,False
2015,2016,88,ACTRESS IN A LEADING ROLE,Cate Blanchett,Carol,False
2015,2016,88,ACTRESS IN A LEADING ROLE,Brie Larson,Room,True
2015,2016,88,ACTRESS IN A LEADING ROLE,Charlotte Rampling,45 Years,False
2015,2016,88,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Brooklyn,False
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Rooney Mara,Carol,False
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Rachel McAdams,Spotlight,False
2015,2016,88,ANIMATED FEATURE FILM,Charlie Kaufman/Duke Johnson/Rosa Tran,Anomalisa,False
2015,2016,88,ANIMATED FEATURE FILM,Alê Abreu,Boy and the World,False
2015,2016,88,ANIMATED FEATURE FILM,Pete Docter/Jonas Rivera,Inside Out,True
2015,2016,88,ANIMATED FEATURE FILM,Mark Burton/Richard Starzak,Shaun the Sheep Movie,False
2015,2016,88,ANIMATED FEATURE FILM,Hiromasa Yonebayashi/Yoshiaki Nishimura,When Marnie Was There,False
2015,2016,88,CINEMATOGRAPHY,Ed Lachman,Carol,False
2015,2016,88,CINEMATOGRAPHY,John Seale,Mad Max: Fury Road,False
2015,2016,88,CINEMATOGRAPHY,Roger Deakins,Sicario,False
2015,2016,88,COSTUME DESIGN,Sandy Powell,Carol,False
2015,2016,88,COSTUME DESIGN,Jenny Beavan,Mad Max: Fury Road,True
2015,2016,88,DIRECTING,George Miller,Mad Max: Fury Road,False
2015,2016,88,DIRECTING,Lenny Abrahamson,Room,False
2015,2016,88,DIRECTING,Tom McCarthy,Spotlight,False
2015,2016,88,DOCUMENTARY (Feature),Asif Kapadia/James Gay-Rees,Amy,True
2015,2016,88,DOCUMENTARY (Feature),Joshua Oppenheimer/Signe Byrge Sørensen,The Look of Silence,False
2015,2016,88,FILM EDITING,Margaret Sixel,Mad Max: Fury Road,True
2015,2016,88,FILM EDITING,Tom McArdle,Spotlight,False
2015,2016,88,FILM EDITING,Maryann Brandon/Mary Jo Markey,Star Wars: The Force Awakens,False
2015,2016,88,INTERNATIONAL FEATURE FILM,France,Mustang,False
2015,2016,88,INTERNATIONAL FEATURE FILM,Hungary,Son of Saul,True
2015,2016,88,INTERNATIONAL FEATURE FILM,Jordan,Theeb,False
2015,2016,88,MAKEUP AND HAIRSTYLING,Lesley Vanderwalt/Elka Wardega/Damian Martin,Mad Max: Fury Road,True
2015,2016,88,MUSIC (Original Score),Thomas Newman,Bridge of Spies,False
2015,2016,88,MUSIC (Original Score),Carter Burwell,Carol,False
2015,2016,88,MUSIC (Original Score),Jóhann Jóhannsson,Sicario,False
2015,2016,88,MUSIC (Original Score),John Williams,Star Wars: The Force Awakens,False
2015,2016,88,MUSIC (Original Song),Diane Warren/Lady Gaga,The Hunting Ground,False
2015,2016,88,BEST PICTURE,Steven Spielberg/Marc Platt/Kristie Macosko Krieger,Bridge of Spies,False
2015,2016,88,BEST PICTURE,Finola Dwyer/Amanda Posey,Brooklyn,False
2015,2016,88,BEST PICTURE,Doug Mitchell/George Miller,Mad Max: Fury Road,False
2015,2016,88,BEST PICTURE,Simon Kinberg/Ridley Scott/Michael Schaefer/Mark Huffam,The Martian,False
2015,2016,88,BEST PICTURE,Ed Guiney,Room,False
2015,2016,88,BEST PICTURE,Michael Sugar/Steve Golin/Nicole Rocklin/Blye Pagon Faust,Spotlight,True
2015,2016,88,ART DIRECTION,Adam Stockhausen/Rena DeAngelo/Bernhard Henrich,Bridge of Spies,False
